Temperature,RH,Rain,FFMC,DMC,DC,ISI,FWI,Classes
29,73,0.1,68.4,1.9,15.7,1.4,0.5,0
29,75,0.0,80.8,3.4,24.0,2.8,1.7,1
29,74,0.1,75.8,3.6,32.2,2.1,0.9,0
31,71,0.3,69.6,3.2,30.1,1.5,0.6,0
30,73,0.9,62.0,2.6,8.4,1.1,0.4,0
30,77,1.0,56.1,2.1,8.4,0.7,0.2,0
33,73,1.8,59.9,2.2,8.9,0.7,0.3,0
30,77,1.8,58.5,1.9,8.4,1.1,0.3,0
29,88,0.0,71.0,2.6,16.6,1.2,0.5,0
25,86,4.6,40.9,1.3,7.5,0.1,0.0,0
22,76,8.3,47.4,1.1,7.0,0.4,0.1,0
24,82,0.4,44.9,0.9,7.3,0.2,0.0,0
30,65,0.0,78.1,3.2,15.7,1.9,0.8,0
31,52,0.0,87.7,6.4,24.3,6.2,5.9,1
32,49,0.0,89.4,9.8,33.1,6.8,7.7,1
29,57,0.0,89.3,12.5,41.3,7.8,9.7,1
28,84,0.0,83.8,13.5,49.3,4.5,6.3,1
31,55,0.0,87.8,16.5,57.9,5.4,8.3,1
31,50,0.6,77.8,10.6,41.4,2.4,2.8,0
32,54,0.5,73.7,7.9,30.4,1.2,0.7,0
29,65,0.6,68.3,5.5,15.2,1.5,0.7,0
26,81,5.8,48.6,3.0,7.7,0.4,0.1,0
31,54,0.0,82.0,6.0,16.3,2.5,1.7,0
31,66,0.0,85.7,8.3,24.9,4.0,4.1,1
32,47,0.7,77.5,7.1,8.8,1.8,0.9,0
26,80,1.8,47.4,2.9,7.7,0.3,0.1,0
25,78,1.4,45.0,1.9,7.5,0.2,0.1,0
32,71,0.7,57.1,2.5,8.2,0.6,0.2,0
30,73,4.0,55.7,2.7,7.8,0.6,0.2,0
29,80,2.0,48.7,2.2,7.6,0.3,0.1,0
30,64,0.0,79.4,5.2,15.4,2.2,1.0,0
32,60,0.2,77.1,6.0,17.6,1.8,0.9,0
35,54,0.1,83.7,8.4,26.3,3.1,3.1,1
35,44,0.2,85.6,9.9,28.9,5.4,6.0,1
28,51,1.3,71.4,7.7,7.4,1.5,0.8,0
27,59,0.1,78.1,8.5,14.7,2.4,1.9,0
30,41,0.0,89.4,13.3,22.5,8.4,10.0,1
31,42,0.0,90.6,18.2,30.5,13.4,16.7,1
27,58,0.0,88.9,21.3,37.8,8.7,12.9,1
30,52,2.0,72.3,11.4,7.8,1.4,0.9,0
27,79,0.7,53.4,6.4,7.3,0.5,0.3,0
28,90,0.0,66.8,7.2,14.7,1.2,0.6,0
29,87,0.4,47.4,4.2,8.0,0.2,0.1,0
31,69,4.7,62.2,3.9,8.0,1.1,0.4,0
33,62,8.7,65.5,4.6,8.3,0.9,0.4,0
32,67,4.5,64.6,4.4,8.2,1.0,0.4,0
31,72,0.2,60.2,3.8,8.0,0.8,0.3,0
32,55,0.0,86.2,8.3,18.4,5.0,4.9,1
33,46,1.1,78.3,8.1,8.3,1.9,1.2,0
33,59,0.8,74.2,7.0,8.3,1.6,0.8,0
35,68,0.0,85.3,10.0,17.0,4.9,5.3,1
34,70,0.0,86.0,12.8,25.6,5.4,6.7,1
36,62,0.0,87.8,16.5,34.5,7.0,9.5,1
36,55,0.0,89.1,20.9,43.3,8.0,12.0,1
37,37,0.0,92.5,27.2,52.4,11.7,18.4,1
37,36,0.6,86.2,17.9,36.7,4.8,7.2,1
34,42,1.7,79.7,12.0,8.5,2.2,2.2,0
28,58,2.2,63.7,3.2,8.5,1.2,0.5,0
33,48,0.0,87.6,7.9,17.8,6.8,6.4,1
34,56,0.1,84.7,9.7,27.3,4.7,5.2,1
34,58,0.0,88.0,13.6,36.8,8.0,9.9,1
34,45,0.0,90.5,18.7,46.4,11.3,15.0,1
35,42,0.3,84.7,15.5,45.1,4.3,6.3,1
38,43,0.5,85.0,13.0,35.4,4.1,5.2,1
35,47,6.0,80.8,9.8,9.7,3.1,3.0,1
36,43,1.9,82.3,9.4,9.9,3.2,3.1,1
34,51,3.8,77.5,8.0,9.5,2.0,1.3,0
34,56,2.9,74.8,7.1,9.5,1.6,0.8,0
36,44,0.0,90.1,12.6,19.4,8.3,9.6,1
39,45,0.6,85.2,11.3,10.4,4.2,4.7,1
34,45,0.0,90.5,18.0,24.1,10.9,14.1,1
31,83,0.0,84.5,19.4,33.1,4.7,7.3,1
32,81,0.0,84.6,21.1,42.3,4.7,7.7,1
33,68,0.0,86.1,23.9,51.6,5.2,9.1,1
34,58,0.0,88.1,27.8,61.1,7.3,13.0,1
36,50,0.0,89.9,32.7,71.0,9.5,17.3,1
36,29,0.0,93.9,39.6,80.6,18.5,30.0,1
32,48,0.0,91.5,44.2,90.1,13.2,25.4,1
31,71,0.0,87.3,46.6,99.0,6.9,16.3,1
33,63,1.1,72.8,20.9,56.6,1.6,2.5,0
39,64,1.2,73.8,11.7,15.9,1.1,0.7,0
35,58,0.2,78.3,10.8,19.7,1.6,1.0,0
29,87,0.0,80.0,11.8,28.3,2.8,3.2,0
33,57,0.0,87.5,15.7,37.6,6.7,9.0,1
34,59,0.0,88.1,19.5,47.2,7.4,10.9,1
36,56,0.0,88.9,23.8,57.1,8.2,13.2,1
37,55,0.0,89.3,28.3,67.2,8.3,14.5,1
38,52,0.0,78.3,4.4,10.5,2.0,0.8,0
40,34,0.0,93.3,10.8,21.4,13.8,13.5,1
39,33,0.0,93.7,17.1,32.1,17.2,19.5,1
38,35,0.0,93.8,23.0,42.7,15.7,20.9,1
34,42,0.1,88.3,23.6,52.5,19.0,12.6,1
30,54,3.1,70.5,11.0,9.1,1.3,0.8,0
34,63,2.9,69.7,7.2,9.8,1.2,0.6,0
37,56,0.0,87.4,11.2,20.2,5.2,5.9,1
39,43,0.0,91.7,16.5,30.9,9.6,12.7,1
39,39,0.2,89.3,15.8,35.4,8.2,10.7,1
40,31,0.0,94.2,22.5,46.3,16.6,21.6,1
39,21,0.4,93.0,18.4,41.5,15.5,18.8,1
35,34,0.2,88.3,16.9,45.1,7.5,10.5,1
37,40,0.0,91.9,22.3,55.5,10.8,15.7,1
35,46,0.3,83.9,16.9,54.2,3.5,5.5,1
40,41,0.1,92.0,22.6,65.1,9.5,14.8,1
42,24,0.0,96.0,30.3,76.4,15.7,24.0,1
37,37,0.0,94.3,35.9,86.8,16.0,26.3,1
35,66,0.1,82.7,32.7,96.8,3.3,7.7,1
36,81,0.0,83.7,34.4,107.0,3.8,9.0,1
36,71,0.0,86.0,36.9,117.1,5.1,12.2,1
37,53,0.0,89.5,41.1,127.5,8.0,18.1,1
36,43,0.0,91.2,46.1,137.7,11.5,24.5,1
35,38,0.0,92.1,51.3,147.7,12.2,26.9,1
34,40,0.0,92.1,56.3,157.5,14.3,31.1,1
33,37,0.0,92.2,61.3,167.2,13.1,30.3,1
36,54,0.0,91.0,65.9,177.3,10.0,26.1,1
35,56,0.4,79.2,37.0,166.0,2.1,6.1,0
35,53,0.5,80.2,20.7,149.2,2.7,5.9,1
34,49,0.0,89.2,24.8,159.1,8.1,16.0,1
30,59,0.0,89.1,27.8,168.2,9.8,19.4,1
29,86,0.0,37.9,0.9,8.2,0.1,0.0,0
28,67,0.0,75.4,2.9,16.3,2.0,0.8,0
28,75,0.0,82.2,4.4,24.3,3.3,2.5,1
30,66,0.2,73.5,4.1,26.6,1.5,0.7,0
30,58,4.1,66.1,4.0,8.4,1.0,0.4,0
34,71,6.5,64.5,3.3,9.1,1.0,0.4,0
31,62,0.0,83.3,5.8,17.7,3.8,3.2,1
30,88,0.0,82.5,6.6,26.1,3.0,2.7,1
30,80,0.0,83.1,7.9,34.5,3.5,3.7,1
29,74,1.1,59.5,4.7,8.2,0.8,0.3,0
30,73,0.0,79.2,6.5,16.6,2.1,1.2,0
31,72,0.0,84.2,8.3,25.2,3.8,3.9,1
29,49,0.0,88.6,11.5,33.4,9.1,10.3,1
28,81,0.0,84.6,12.6,41.5,4.3,5.7,1
32,51,0.0,88.7,16.0,50.2,6.9,9.8,1
33,26,0.0,93.9,21.2,59.2,14.2,19.3,1
34,44,0.0,92.5,25.2,63.3,11.2,17.5,1
36,33,0.1,90.6,25.8,77.8,9.0,15.4,1
29,41,0.1,83.9,24.9,86.0,2.7,5.6,1
34,58,0.2,79.5,18.7,88.0,2.1,3.8,0
35,34,0.0,92.2,23.6,97.3,13.8,21.6,1
33,64,0.0,88.9,26.1,106.3,7.1,13.7,1
35,56,0.0,89.0,29.4,115.6,7.5,15.2,1
26,49,2.0,61.3,11.9,28.1,0.6,0.4,0
28,70,0.0,79.9,13.8,36.1,2.4,3.0,0
30,65,0.0,85.4,16.0,44.5,4.5,6.5,1
28,87,4.4,41.1,6.5,8.0,0.1,0.0,0
27,87,0.5,45.9,3.5,7.9,0.4,0.2,0
24,54,0.1,79.7,4.3,15.2,1.7,0.7,0
24,64,0.2,67.3,3.8,16.5,1.2,0.5,0
